Point_Count,System_Time_Unix
20064,1765435952.592350000
19968,1765435952.733490000
19968,1765435953.140970000
20064,1765435953.152080000
19968,1765435953.271300000
20064,1765435953.377370000
19968,1765435953.590530000
19968,1765435953.741420000
20064,1765435953.845100000
20064,1765435954.078990000
19872,1765435954.301840000
20064,1765435954.426440000
20064,1765435954.557280000
19968,1765435955.257140000
20064,1765435955.286250000
19968,1765435955.299060000
19968,1765435955.311300000
19968,1765435955.584390000
19968,1765435955.746380000
19968,1765435955.973230000
19968,1765435956.959030000
19968,1765435956.984570000
19968,1765435956.995270000
19968,1765435957.006430000
19968,1765435957.016700000
19680,1765435957.038000000
20160,1765435957.345160000
19968,1765435957.463790000
20064,1765435957.614830000
20064,1765435957.813040000
20064,1765435957.951260000
19968,1765435958.170350000
19968,1765435958.600590000
19968,1765435958.836550000
19968,1765435958.846710000
20064,1765435959.059120000
19968,1765435959.222410000
20064,1765435959.338170000
19968,1765435959.557430000
