Point_Count,System_Time_Unix
19968,1765435869.321590000
19968,1765435869.327200000
19968,1765435869.332740000
19968,1765435869.355310000
19968,1765435869.361150000
19872,1765435869.644150000
19872,1765435870.045570000
19776,1765435870.870560000
19968,1765435870.876640000
20064,1765435870.880690000
19968,1765435871.148130000
20064,1765435871.154710000
19968,1765435871.159740000
19968,1765435871.269970000
19968,1765435871.400810000
19968,1765435871.618670000
19968,1765435871.851580000
19968,1765435872.319960000
19968,1765435872.328530000
19968,1765435872.526760000
19968,1765435873.075120000
20064,1765435873.081080000
19968,1765435873.381600000
20064,1765435873.396870000
19968,1765435873.504340000
20064,1765435873.646120000
19968,1765435873.855950000
19968,1765435874.000780000
20064,1765435874.126010000
19968,1765435874.249480000
19968,1765435874.463290000
20064,1765435874.638940000
19968,1765435874.766670000
20064,1765435874.996840000
20064,1765435875.172790000
19968,1765435875.332210000
19968,1765435875.457860000
19968,1765435875.673390000
19968,1765435876.257950000
19968,1765435876.275560000
20064,1765435876.292560000
20064,1765435876.460570000
19968,1765435876.716120000
19872,1765435877.052090000
19968,1765435877.061320000
20064,1765435877.179860000
19968,1765435877.336060000
19968,1765435877.554340000
19968,1765435877.736080000
20064,1765435877.948000000
20064,1765435878.078830000
19968,1765435878.301440000
20064,1765435878.516000000
19680,1765435878.630060000
20064,1765435878.743660000
19968,1765435879.304790000
20064,1765435879.309770000
19968,1765435879.314350000
19968,1765435879.898770000
19968,1765435879.904970000
19968,1765435879.923260000
19968,1765435880.036980000
20640,1765435880.374220000
19968,1765435880.499850000
19968,1765435880.631940000
20064,1765435880.766910000
19968,1765435880.966790000
20064,1765435881.086270000
19968,1765435881.306670000
20064,1765435881.484760000
19968,1765435881.622940000
20064,1765435881.743650000
20064,1765435881.876720000
20064,1765435881.991970000
19968,1765435882.192290000
19968,1765435882.509710000
20064,1765435882.524930000
20064,1765435882.644780000
19968,1765435882.836870000
20064,1765435883.010930000
19968,1765435883.227140000
19968,1765435883.354230000
20064,1765435883.463740000
19968,1765435883.927260000
20064,1765435883.944040000
20064,1765435884.040850000
19968,1765435884.172980000
20064,1765435884.289660000
19872,1765435884.422560000
20064,1765435884.553170000
19872,1765435884.670260000
19968,1765435884.792310000
20064,1765435885.350360000
19968,1765435885.355930000
19968,1765435885.754510000
20064,1765435885.985790000
19968,1765435885.991220000
20064,1765435885.996580000
19968,1765435886.125390000
19968,1765435886.398450000
19968,1765435886.540930000
20064,1765435886.657990000
19968,1765435887.554590000
19968,1765435887.561170000
20064,1765435887.565210000
19968,1765435887.574500000
19968,1765435887.591870000
19968,1765435887.864900000
19968,1765435887.981340000
19968,1765435888.122860000
19968,1765435888.334870000
20064,1765435888.448500000
19968,1765435888.655840000
19968,1765435888.773030000
20064,1765435888.971260000
19968,1765435889.418570000
19104,1765435889.423510000
20832,1765435889.563810000
19968,1765435890.112590000
19968,1765435890.118450000
19968,1765435890.123580000
20064,1765435890.323860000
19968,1765435890.949420000
20064,1765435891.031720000
19968,1765435891.036460000
19968,1765435891.160970000
19968,1765435891.528840000
19968,1765435891.534800000
20064,1765435891.758530000
20064,1765435891.925430000
19968,1765435892.066880000
19968,1765435892.184860000
20064,1765435892.309880000
19968,1765435892.527690000
20064,1765435892.648370000
19968,1765435892.768060000
20064,1765435892.980460000
20064,1765435893.179370000
20064,1765435893.296390000
19968,1765435893.888010000
19968,1765435893.893590000
19968,1765435893.899890000
19776,1765435894.318520000
20064,1765435894.323680000
19872,1765435895.246310000
19968,1765435895.251600000
20064,1765435895.270430000
19968,1765435895.275550000
19968,1765435895.282150000
20064,1765435895.620050000
20064,1765435895.752880000
20064,1765435896.332240000
19680,1765435896.420690000
19968,1765435896.426380000
20064,1765435896.546310000
19968,1765435896.664910000
19968,1765435896.875030000
20064,1765435896.996730000
19968,1765435897.208500000
19968,1765435897.332580000
20064,1765435897.528590000
19968,1765435897.717130000
20064,1765435897.940840000
20064,1765435898.080750000
19968,1765435898.286470000
19968,1765435898.398270000
19968,1765435898.621490000
20064,1765435898.757830000
19968,1765435899.328590000
20064,1765435899.336700000
19968,1765435899.744960000
19968,1765435899.751010000
19968,1765435899.759280000
19968,1765435899.865570000
20064,1765435900.332700000
19968,1765435900.343290000
19968,1765435900.456110000
19968,1765435900.676030000
19968,1765435900.794170000
20064,1765435900.994930000
20064,1765435901.133680000
19968,1765435901.259130000
20064,1765435901.380800000
20064,1765435901.589270000
19968,1765435901.718840000
19968,1765435901.937050000
20064,1765435902.081490000
19968,1765435902.301220000
20064,1765435902.422330000
19968,1765435902.570600000
19968,1765435902.686950000
19968,1765435902.904900000
19968,1765435903.188990000
19968,1765435903.322420000
19968,1765435903.525010000
20064,1765435903.643080000
19968,1765435903.847780000
19968,1765435904.768000000
20064,1765435904.776760000
19968,1765435904.793070000
19968,1765435905.341490000
19968,1765435905.346930000
20064,1765435905.375170000
19968,1765435905.388320000
19968,1765435905.457870000
20064,1765435905.811200000
19968,1765435905.964000000
20064,1765435906.113010000
19968,1765435906.231900000
19968,1765435907.143350000
20064,1765435907.148780000
20064,1765435907.154130000
20064,1765435907.158940000
19872,1765435907.167580000
19968,1765435907.177910000
20064,1765435907.616250000
19968,1765435908.070280000
19968,1765435908.573140000
19968,1765435908.659710000
19872,1765435908.667670000
19968,1765435908.679500000
19968,1765435909.406770000
19968,1765435910.379030000
19968,1765435910.383710000
19968,1765435910.402440000
20064,1765435910.406810000
19968,1765435910.413390000
19968,1765435910.680400000
20064,1765435910.685150000
20064,1765435910.690690000
19872,1765435911.950530000
19968,1765435911.958130000
20064,1765435911.977130000
19968,1765435911.982040000
20064,1765435911.988720000
20064,1765435911.994770000
20064,1765435912.012980000
19968,1765435912.242410000
20064,1765435912.815490000
20064,1765435912.822250000
20544,1765435912.826940000
19968,1765435913.232130000
19968,1765435913.236860000
19968,1765435913.360330000
20160,1765435913.556920000
20064,1765435913.689280000
19872,1765435914.381460000
19968,1765435914.461270000
20064,1765435914.467500000
19968,1765435914.502800000
19872,1765435914.972060000
19872,1765435914.986270000
19968,1765435914.991670000
19968,1765435915.093180000
20064,1765435915.308030000
19968,1765435915.742280000
19968,1765435915.746860000
20064,1765435915.876700000
19872,1765435916.018040000
20160,1765435916.225430000
19968,1765435916.338510000
20064,1765435916.559820000
19968,1765435916.693460000
20064,1765435916.815310000
19968,1765435917.041380000
19872,1765435917.166740000
20064,1765435917.293190000
19968,1765435917.425030000
20064,1765435918.442940000
19872,1765435918.464710000
20064,1765435918.470240000
20064,1765435918.476090000
19968,1765435918.482120000
19872,1765435918.965680000
19968,1765435918.971410000
19968,1765435918.976520000
19968,1765435919.098710000
19968,1765435919.318210000
20064,1765435919.491840000
19968,1765435919.604130000
20064,1765435919.812230000
19968,1765435920.018140000
19968,1765435920.177490000
19968,1765435920.746430000
19968,1765435920.830640000
19968,1765435920.836790000
19968,1765435920.956520000
19968,1765435921.290310000
20064,1765435921.295740000
19968,1765435921.426660000
19968,1765435921.554750000
20064,1765435921.769700000
19872,1765435921.976610000
19968,1765435922.109640000
19968,1765435922.532850000
20064,1765435922.537960000
20064,1765435922.681880000
19968,1765435922.951160000
20064,1765435923.073740000
19968,1765435923.254900000
20064,1765435923.423030000
19968,1765435923.649800000
20064,1765435923.776860000
20064,1765435923.994100000
19968,1765435925.155900000
19968,1765435925.179340000
20064,1765435925.185270000
19872,1765435925.191050000
19872,1765435925.342060000
19968,1765435925.347270000
20064,1765435925.352310000
20064,1765435925.582720000
19968,1765435925.725050000
20064,1765435925.932440000
20064,1765435926.066710000
19872,1765435926.267790000
19968,1765435926.445920000
19968,1765435926.567380000
19968,1765435926.680410000
19968,1765435926.884320000
19968,1765435927.020300000
19968,1765435927.239900000
20064,1765435927.357400000
20064,1765435927.562550000
20064,1765435927.699290000
20064,1765435927.912460000
19872,1765435928.043590000
20064,1765435928.166560000
19872,1765435929.058230000
20064,1765435929.063020000
19968,1765435929.083650000
20064,1765435929.089470000
19968,1765435929.095370000
20064,1765435929.312230000
19968,1765435929.427480000
19872,1765435929.547210000
19872,1765435930.135880000
20064,1765435930.142000000
19968,1765435930.147580000
19968,1765435930.252170000
19968,1765435930.873620000
20064,1765435930.902730000
19968,1765435930.909860000
20064,1765435930.997550000
19968,1765435931.144030000
20160,1765435931.441540000
19968,1765435931.575040000
19968,1765435931.778390000
19968,1765435931.900500000
20064,1765435932.028640000
20064,1765435932.248570000
19968,1765435932.409910000
19968,1765435932.551000000
19968,1765435932.677650000
19968,1765435933.241560000
20064,1765435933.245950000
19968,1765435933.251520000
19872,1765435933.438680000
19968,1765435933.577860000
19968,1765435933.797270000
20064,1765435933.912540000
19968,1765435934.123980000
19968,1765435934.258290000
19968,1765435934.456220000
20064,1765435934.584020000
20064,1765435934.732110000
19968,1765435934.871380000
20064,1765435934.989810000
19872,1765435935.552600000
20064,1765435935.557150000
19968,1765435935.562180000
19968,1765435935.759370000
19968,1765435935.889460000
20064,1765435936.105220000
19968,1765435936.393630000
20064,1765435936.516810000
20064,1765435936.732450000
19968,1765435936.887800000
20064,1765435937.019880000
19968,1765435937.235980000
20064,1765435937.362320000
19872,1765435937.594430000
19968,1765435937.716200000
19872,1765435938.164460000
20064,1765435938.528450000
20160,1765435938.533590000
20064,1765435938.549310000
19968,1765435938.731360000
19968,1765435938.870860000
20064,1765435939.012270000
19968,1765435939.138940000
19968,1765435939.356210000
19968,1765435939.558430000
19872,1765435940.283090000
20064,1765435940.304300000
19968,1765435940.688030000
19968,1765435940.782490000
20064,1765435940.787840000
20064,1765435940.793420000
19872,1765435941.012180000
19968,1765435941.441130000
20256,1765435941.447470000
19968,1765435941.574590000
20064,1765435941.734920000
20064,1765435941.894630000
19968,1765435942.460760000
20064,1765435942.466630000
20064,1765435942.471170000
19872,1765435942.684100000
19776,1765435943.752600000
20064,1765435943.758200000
19968,1765435943.774280000
19968,1765435943.779830000
19968,1765435944.739290000
19968,1765435944.818630000
20064,1765435944.831610000
19968,1765435944.836550000
20640,1765435944.842280000
19968,1765435944.846440000
19968,1765435945.617060000
20064,1765435945.622490000
19968,1765435945.639160000
19968,1765435945.917800000
19872,1765435946.036700000
20064,1765435946.240080000
20064,1765435946.379120000
19968,1765435946.600490000
19968,1765435947.491810000
19968,1765435947.501330000
20160,1765435947.517440000
19968,1765435948.062330000
20064,1765435948.146240000
20064,1765435948.150840000
19968,1765435948.554890000
19968,1765435948.765220000
20064,1765435948.771870000
19968,1765435948.777620000
19968,1765435948.887320000
20064,1765435949.783630000
